type,IDS
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_10-0.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_10-1.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_3.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_4.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-0.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-1.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-2.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-3.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-4.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-5.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-6.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-7.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-8.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-9.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-10.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-13.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-14.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-15.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-2.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_7.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_8-0.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_8-1.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_8-2.csv
molar,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_9.csv
